id_EXIST,lang,tweet,number_annotators,annotators,gender_annotators,age_annotators,ethnicities_annotators,study_levels_annotators,countries_annotators,labels_task1_1,labels_task1_2,labels_task1_3,split,cleaned_text,translated_back
102115,es,"@Luzan96 Lamento sonar como que me interesa darle la razón (que no es el caso ni de lejos) pero en este caso todo lo que dijo es real, y cualquiera que pudiese protestar sobre ello de cierta manera le estaría dando la razón, las mujeres no deberían ofenderse por no entrar+",6,"['Annotator_61', 'Annotator_62', 'Annotator_63', 'Annotator_64', 'Annotator_65', 'Annotator_66']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree']","['Mexico', 'Mexico', 'Mexico', 'United States', 'Portugal', 'Spain']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT']","[['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['IDEOLOGICAL-INEQUALITY'], ['IDEOLOGICAL-INEQUALITY'], ['IDEOLOGICAL-INEQUALITY'], ['IDEOLOGICAL-INEQUALITY'], ['IDEOLOGICAL-INEQUALITY']]",TRAIN_ES,"lamento sonar como que me interesa darle la razón que no es el caso ni de lejos pero en este caso todo lo que dijo es real, y cualquiera que pudiese protestar sobre ello de cierta manera le estaría dando la razón, las mujeres no deberían ofenderse por no entrar","Siento sonar como si estuviera interesado en darte lo correcto que no es el caso o muy lejos, pero en este caso todo lo que dijiste es real, y cualquiera que pudiera protestar al respecto de cierta manera estaría enderezandote, las mujeres no deberían ofenderse por no venir."
102116,es,las mujeres no deberian tener derecho a arbitrar un partido de fútbol,6,"['Annotator_19', 'Annotator_20', 'Annotator_21', 'Annotator_22', 'Annotator_23', 'Annotator_24']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Doctorate', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Afghanistan', 'United States', 'Italy', 'Portugal', 'Chile']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['JUDGEMENTAL', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT']","[['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'MISOGYNY-NON-SEXUAL-VIOLENCE']]",TRAIN_ES,las mujeres no deberian tener derecho a arbitrar un partido de fútbol,las mujeres no deben tener derecho a arbitrar un partido de fútbol
102117,es,"@coragamarnik @lidiambaran Típica expresión de un machista. ""las mujeres no deberían......""",6,"['Annotator_37', 'Annotator_38', 'Annotator_39', 'Annotator_40', 'Annotator_41', 'Annotator_42']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'other', 'Bachelor’s degree']","['United States', 'Mexico', 'Venezuela', 'Spain', 'Spain', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['JUDGEMENTAL', 'JUDGEMENTAL', 'DIRECT', 'JUDGEMENTAL', 'JUDGEMENTAL', 'JUDGEMENTAL']","[['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY']]",TRAIN_ES,típica expresión de un machista. las mujeres no deberían......,expresión típica de un machista.
102118,es,Los hombres que critican a las mujeres no deberían usar pantalón si no falda. Pollerones!!,6,"['Annotator_67', 'Annotator_68', 'Annotator_69', 'Annotator_70', 'Annotator_71', 'Annotator_72']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Spain', 'Spain', 'Dominican Republic', 'Portugal', 'Italy', 'Spain']","['YES', 'YES', 'YES', 'NO', 'YES', 'NO']","['DIRECT', 'JUDGEMENTAL', 'JUDGEMENTAL', '-', 'REPORTED', '-']","[['IDEOLOGICAL-INEQUALITY'], ['STEREOTYPING-DOMINANCE'], ['OBJECTIFICATION'], ['-'], ['IDEOLOGICAL-INEQUALITY'], ['-']]",TRAIN_ES,los hombres que critican a las mujeres no deberían usar pantalón si no falda. pollerones!!,hombres que critican a las mujeres no deben usar pantalones si no falda. pollos!!
102119,es,Las mujeres no deberían pasar frío  y mucho menos TÚ mami 🥺😫 !!,6,"['Annotator_73', 'Annotator_74', 'Annotator_75', 'Annotator_76', 'Annotator_77', 'Annotator_78']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Portugal', 'Mexico', 'Mexico', 'Spain', 'Portugal', 'Mexico']","['NO', 'NO', 'YES', 'YES', 'YES', 'NO']","['-', '-', 'REPORTED', 'DIRECT', 'DIRECT', '-']","[['-'], ['-'], ['OBJECTIFICATION'], ['SEXUAL-VIOLENCE'], ['OBJECTIFICATION'], ['-']]",TRAIN_ES,las mujeres no deberían pasar frío y mucho menos tú mami !!,¡Las mujeres no deberían estar frías y mucho menos tu mamá!
102120,es,"saben, algunas veces antes de dormir me pongo a pensar que las mujeres no deberían tener el derecho a opinar sin el permiso de un hombre",6,"['Annotator_115', 'Annotator_116', 'Annotator_117', 'Annotator_118', 'Annotator_119', 'Annotator_120']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Poland', 'Mexico', 'Chile', 'Italy', 'United Kingdom', 'Spain']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT']","[['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE']]",TRAIN_ES,"saben, algunas veces antes de dormir me pongo a pensar que las mujeres no deberían tener el derecho a opinar sin el permiso de un hombre","Sabes, a veces antes de dormir, pienso que las mujeres no deberían tener derecho a decir algo sin el permiso de un hombre."
102121,es,"@Sofimacriiista Un flaco me invita a salir, él casi abogado, yo casi profesora, a mitad de camino, cargó nafta y me pidió plata para pagar la mitad, me invita a tomar una gaseosa, y compró una grande pidió 2 vasos, y lo que sobró  se lo quedó. Me dijo: Es que las mujeres no saben ahorrar.",6,"['Annotator_181', 'Annotator_182', 'Annotator_183', 'Annotator_184', 'Annotator_185', 'Annotator_186']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Venezuela', 'Mexico', 'Mexico', 'Panama', 'Spain', 'Spain']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['REPORTED', 'REPORTED', 'DIRECT', 'REPORTED', 'REPORTED', 'DIRECT']","[['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['STEREOTYPING-DOMINANCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,"un flaco me invita a salir, él casi abogado, yo casi profesora, a mitad de camino, cargó nafta y me pidió plata para pagar la mitad, me invita a tomar una gaseosa, y compró una grande pidió 2 vasos, y lo que sobró se lo quedó. me dijo es que las mujeres no saben ahorrar.","un flaco me invita a salir, él casi abogado, yo casi profesor, medio, cargado nafta y me pidió dinero para pagar la mitad, me invita a tomar un refresco, y compró uno grande pidió 2 vasos, y lo que quedó de ella. Me dijo que las mujeres no saben cómo ahorrar."
102122,es,"@kikecervaaantes Por eso las mujeres no saben estacuonarse, por q sienpre han creído q 5cm son 10 🤦🏻",6,"['Annotator_241', 'Annotator_242', 'Annotator_243', 'Annotator_244', 'Annotator_245', 'Annotator_246']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Asian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Italy', 'Spain', 'Portugal', 'United States', 'United Kingdom', 'Mexico']","['NO', 'YES', 'YES', 'YES', 'YES', 'YES']","['-', 'DIRECT', 'JUDGEMENTAL', 'DIRECT', 'DIRECT', 'DIRECT']","[['-'], ['MISOGYNY-NON-SEXUAL-VIOLENCE'], ['OBJECTIFICATION'], ['OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'SEXUAL-VIOLENCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,"por eso las mujeres no saben estacuonarse, por q sienpre han creído q 5cm son 10","Es por eso que las mujeres no saben cómo estancarse, así que si creen que 5cm es 10"
102123,es,"Le cerró la boca a muchos pelotudos, ah pero después las mujeres no saben de fútbol ! Claaaaa",6,"['Annotator_193', 'Annotator_194', 'Annotator_195', 'Annotator_196', 'Annotator_197', 'Annotator_198']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Master’s degree', 'Master’s degree']","['Portugal', 'Mexico', 'Portugal', 'Peru', 'Colombia', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['DIRECT', 'REPORTED', 'JUDGEMENTAL', 'DIRECT', 'JUDGEMENTAL', 'REPORTED']","[['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY', 'OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY']]",TRAIN_ES,"le cerró la boca a muchos pelotudos, ah pero después las mujeres no saben de fútbol ! claaaaa","¡Se cerró la puta boca, pero las mujeres no saben nada del fútbol!"
102124,es,@BotvinnikMijail @CabLaPalma @RTVCes @IGNSpain ¿Qué le pasa? ¿que ahora no se le ocurre otra cosa que recurrir al argumento por intimidación? por lo menos dígame qué le parece eso de dejar que las mujeres estudien lo que les de la gana ¿cree que las mujeres no saben elegir sus preferencias intelectuales y profesionale?,6,"['Annotator_253', 'Annotator_254', 'Annotator_255', 'Annotator_256', 'Annotator_257', 'Annotator_258']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Multiracial']","['Bachelor’s degree', 'Master’s degree', 'Less than high school diploma', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['United States', 'Spain', 'United States', 'Spain', 'Chile', 'Portugal']","['YES', 'NO', 'YES', 'YES', 'YES', 'YES']","['JUDGEMENTAL', '-', 'DIRECT', 'REPORTED', 'REPORTED', 'JUDGEMENTAL']","[['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE'], ['-'], ['IDEOLOGICAL-INEQUALITY'], ['UNKNOWN'], ['OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']]",TRAIN_ES,qué le pasa? que ahora no se le ocurre otra cosa que recurrir al argumento por intimidación? por lo menos dígame qué le parece eso de dejar que las mujeres estudien lo que les de la gana cree que las mujeres no saben elegir sus preferencias intelectuales y profesionale?,¿Qué te pasa? ¿Que ahora no puedes pensar en nada más que recurrir al argumento de la intimidación? ¿al menos decirme lo que parece dejar que las mujeres estudien lo que quieren pensar que las mujeres no saben elegir sus preferencias intelectuales y profesionales?
102125,es,Por eso las mujeres no saben decir la verdad. https://t.co/IdRROxZbZy,6,"['Annotator_205', 'Annotator_206', 'Annotator_207', 'Annotator_208', 'Annotator_209', 'Annotator_210']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Portugal', 'Mexico', 'Spain', 'Spain', 'Mexico', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['DIRECT', 'JUDGEMENTAL', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT']","[['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,por eso las mujeres no saben decir la verdad.,Por eso las mujeres no pueden decir la verdad.
102126,es,@rotripke Hacelo vos. Perdon cierto que las mujeres no saben hacer asado.,6,"['Annotator_205', 'Annotator_206', 'Annotator_207', 'Annotator_208', 'Annotator_209', 'Annotator_210']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Portugal', 'Mexico', 'Spain', 'Spain', 'Mexico', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['JUDGEMENTAL', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT']","[['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,hacelo vos. perdon cierto que las mujeres no saben hacer asado.,Estoy seguro de que las mujeres no saben cómo asar.
102127,es,@martasails Vibes de Francesco Renga diciendo que las mujeres no saben cantar y quedando peor que todas las mujeres,6,"['Annotator_211', 'Annotator_212', 'Annotator_213', 'Annotator_214', 'Annotator_215', 'Annotator_216']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent']","['Spain', 'Mexico', 'Argentina', 'Netherlands', 'Spain', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['REPORTED', 'REPORTED', 'DIRECT', 'DIRECT', 'JUDGEMENTAL', 'JUDGEMENTAL']","[['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['MISOGYNY-NON-SEXUAL-VIOLENCE'], ['STEREOTYPING-DOMINANCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,vibes de francesco renga diciendo que las mujeres no saben cantar y quedando peor que todas las mujeres,vibras de francesco renga diciendo que las mujeres no saben cantar y ponerse peor que todas las mujeres
102128,es,@AgostinaPaez0 @molinattizi Ya te dije por defecto la mayoría de las mujeres no saben cruzar la calle,6,"['Annotator_295', 'Annotator_296', 'Annotator_297', 'Annotator_298', 'Annotator_299', 'Annotator_300']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Portugal', 'Spain', 'Portugal', 'Italy', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['DIRECT', 'JUDGEMENTAL', 'DIRECT', 'DIRECT', 'JUDGEMENTAL', 'DIRECT']","[['MISOGYNY-NON-SEXUAL-VIOLENCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,ya te dije por defecto la mayoría de las mujeres no saben cruzar la calle,"Te lo dije por defecto, la mayoría de las mujeres no saben cruzar la calle."
102129,es,"@joseantoniokast Muchas veces el acoso se disfraza de actitudes machistas y las mujeres no saben si denunciar o no, porque quedan con la duda 🤔, me esta acosando o él es así.",6,"['Annotator_7', 'Annotator_8', 'Annotator_9', 'Annotator_10', 'Annotator_11', 'Annotator_12']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Black or African American', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree']","['United Kingdom', 'Mexico', 'United States', 'Portugal', 'Chile', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['REPORTED', 'REPORTED', 'REPORTED', 'JUDGEMENTAL', 'REPORTED', 'JUDGEMENTAL']","[['MISOGYNY-NON-SEXUAL-VIOLENCE'], ['MISOGYNY-NON-SEXUAL-VIOLENCE'], ['SEXUAL-VIOLENCE'], ['SEXUAL-VIOLENCE'], ['SEXUAL-VIOLENCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,"muchas veces el acoso se disfraza de actitudes machistas y las mujeres no saben si denunciar o no, porque quedan con la duda , me esta acosando o él es así.","Muchas veces el acoso se disfraza de actitud machista y las mujeres no saben si denunciarlo o no, porque se quedan con la duda, me está acosando o lo está."
102130,es,"@gisellabuendia Jaja vaya a lavar platos, cocinar... Las mujeres no saben nada de fútbol... solo sirven para informar lo q les dice el Google nada más @CarlosVictorM @mariocanessa @CarlosGalvez21 #COVID19",6,"['Annotator_133', 'Annotator_134', 'Annotator_135', 'Annotator_136', 'Annotator_137', 'Annotator_138']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Italy', 'Mexico', 'Mexico', 'Mexico', 'Chile', 'Chile']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT']","[['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,"jaja vaya a lavar platos, cocinar... las mujeres no saben nada de fútbol... solo sirven para informar lo q les dice el google nada más covid19","Haha ir a lavar platos, cocinar ... las mujeres no saben nada sobre el fútbol ... sólo sirven para informarles lo que el google les dice no más covid19"
102131,es,@tanyacortezSV ANDA EN PRIMERA PUES COMO SABEMOS MUCHOS HOMBRES LAS MUJERES NO SABEN MANEJAR MUY BIEN LES CUESTA METER LA SEGUNDA Y POCO A POCO HAY QUE METER LA TERCERA Y DESDE AHÍ AGARRA INBION,6,"['Annotator_133', 'Annotator_134', 'Annotator_135', 'Annotator_136', 'Annotator_137', 'Annotator_138']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Italy', 'Mexico', 'Mexico', 'Mexico', 'Chile', 'Chile']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT', 'DIRECT']","[['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,anda en primera pues como sabemos muchos hombres las mujeres no saben manejar muy bien les cuesta meter la segunda y poco a poco hay que meter la tercera y desde ahí agarra inbion,"Va primero porque como muchos hombres saben, las mujeres no saben conducir muy bien. Les resulta difícil poner el segundo en y poco a poco tienen que poner el tercero en y desde allí se agarra la axila."
102132,es,"Hombres, valoren a las mujeres, no saben por todo lo que nos toca pasar! Física y emocionalmente.",6,"['Annotator_139', 'Annotator_140', 'Annotator_141', 'Annotator_142', 'Annotator_143', 'Annotator_144']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Multiracial', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree']","['Portugal', 'Mexico', 'Italy', 'Italy', 'Portugal', 'Mexico']","['NO', 'YES', 'YES', 'YES', 'NO', 'NO']","['-', 'JUDGEMENTAL', 'REPORTED', 'DIRECT', '-', '-']","[['-'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['-'], ['-']]",TRAIN_ES,"hombres, valoren a las mujeres, no saben por todo lo que nos toca pasar! física y emocionalmente.","hombres, valoran a las mujeres, no saben lo que es para nosotros pasar! física y emocionalmente."
102133,es,@ElizabethHM21 @2010MisterChip por comentarios como el tuyo dicen que las mujeres no saben de futbol,6,"['Annotator_13', 'Annotator_14', 'Annotator_15', 'Annotator_16', 'Annotator_17', 'Annotator_18']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Chile', 'Spain', 'Spain', 'Portugal', 'Spain']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['DIRECT', 'REPORTED', 'DIRECT', 'JUDGEMENTAL', 'DIRECT', 'JUDGEMENTAL']","[['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE']]",TRAIN_ES,por comentarios como el tuyo dicen que las mujeres no saben de futbol,"Para comentarios como los tuyos, las mujeres no saben nada del fútbol."
